name,gender,meaning
Aabheer,Male,a cow herd
Aadarsh,Male,ideal
Aadesh,Male,command
Aadhira,Male,Moon
Aadi,Male,first / most important
Aadidev,Male,the first god
Aadinath,Male,the first god
Aadit,Male,Peak
Aaditeya,Male,son of Aditi
Aaditya,Male,The sun
Aadya,Male,"The earliest, Lord Shiva"
Aagam,Male,"coming, arrival"
Aagney,Male,Son of Fire
Aagneya,Male,son of the fire
Aahlaad,Male,delight
Aahva,Male,Beloved
Aakaash,Male,sky
Aakar,Male,shape
Aakarshan,Male,attraction
Aalap,Male,prelude to a raga
Aalok,Male,light
Aamod,Male,pleasure
Aanand,Male,joy
Aanandswarup,Male,full of joy
Aandaleeb,Male,the bulbul bird
Aanjaneya,Male,Son of Anjani (Hanuman)
Aapt,Male,trustworthy
Aaradhak,Male,worshipper
Aarnav,Male,Ocean
Aarth,Male,"Meaning, wealth"
Aashish,Male,blessing
Aashman,Male,Son of the sun
Ashlesh,Male,to embrace
Aashutosh,Male,who is easily pleased
Aastik,Male,who has faith in god
Aatish,Male,"explosive, dynamic person"
Aatmaj,Male,"son, beloved to soul"
Aatreya,Male,name of a sage
Aayu,Male,lifespan
Aayushmaan,Male,with long life
Abeer,Male,fragrance
Abhay,Male,fearless
Abheek,Male,fearless
Abhi,Male,Fearless
Abhijaat,Male,well born with a pedigree
Abhijay,Male,victorious
Abhijit,Male,victorious
Abhik,Male,Beloved
Abhilash,Male,desire
Abhimanyu,Male,son of Arjuna
Abhinandan,Male,congratulation
Abhinav,Male,"brand new, present"
Abhinivesh,Male,Desire
Abhiram,Male,"pleasing, Lord Vishnu"
Abhiraj,Male,Fearless King
Abhirath,Male,great charioteer
Abhirup,Male,handsome
Abhisar,Male,companion
Abhishek,Male,an auspicious bathing ritual
Abhivaadan,Male,greeting
Abhivanth / Abivanth,Male,Royal Salute
Abhra,Male,cloud
Abhyudaya,Male,Luck
Achal,Male,"constant, unshaked"
Achalendra,Male,the Himalayas
Achalraj,Male,Himalayan mountain
Acharya,Male,teacher
Achintya,Male,inconceivable
Achyut,Male,imperishable; name of Vishnu
Achyuthan,Male,Indestructible
Adarsh,Male,Ideal
Adeela,Male,equal
Adeep,Male,The light Of Vishnu
Adheer,Male,restless
Adheesh,Male,king
Adhik,Male,"more, lots"
Adhip,Male,king
Adhiraj,Male,King
Adil,Male,sincere; just
Adinath,Male,Lord Vishnu
Adipurush,Male,Primordial Being
Adit,Male,from the beginning
Aditya,Male,The sun
Advait,Male,"Unique, a Hindu philosophy"
Advay,Male,Unique
Advaya,Male,one; united
Advik,Male,Unique
Adwaita,Male,"a Hindu philosophy Aganveer = God of law, sikh origin"
Agastya,Male,name of a sage
Agendra,Male,Himalayan mountain
Agharna,Male,the moon
Aghat,Male,destroyer of sin
Aghosh,Male,"quiet, soundless"
Agnimitra,Male,friend of fire
Agniprava,Male,bright as the fire
Agnivesh,Male,bright as the fire
Agraj,Male,"leader, senior"
Agrata,Male,leadership
Agrim,Male,leader; first
Agyeya,Male,unknown
Ahan,Male,one who is of the nature of time itself
Ainesh,Male,the sun's glory
Airaawat,Male,the celestial white elephant
Aja,Male,unborn
Ajaat,Male,unborn
Ajaatshatru,Male,who has no enemies
Ajanta,Male,eternal fame
Ajay,Male,unconquerable
Ajit,Male,unconquerable
Ajitaabh,Male,whose lustre can't be diminished
Ajitesh,Male,Lord Vishnu
Ajisth,Male,Very inteligent
