name,meaning,gender
Bakaita,Divine,Girl
Gakaav,Wisdom,Boy
Avviita,Victory,Boy
Aykaika,Joy,Girl
Bhtan,Grace,Girl
Sumiita,Kindness,Boy
Vitaans,Divine,Boy
Halaav,Strength,Boy
Badiika,Peace,Girl
Bhkaita,Victory,Girl
Namin,Harmony,Girl
Avvaika,Kindness,Girl
Maniika,Joy,Girl
Hamiesh,Kindness,Girl
Dekaita,Victory,Boy
Omraita,Wisdom,Boy
Japaa,Harmony,Girl
Sumaika,Victory,Girl
Ravaika,Strength,Boy
Aynin,Brilliance,Boy
Raviesh,Light,Girl
Nashiika,Light,Boy
Viyan,Brilliance,Girl
Jataa,Grace,Boy
Pamaans,Strength,Girl
Triraali,Brilliance,Girl
Avniraj,Brilliance,Boy
Ishruav,Light,Girl
Adisaita,Joy,Girl
Laraesh,Grace,Boy
Dashiali,Brilliance,Girl
Aymaay,Brilliance,Girl
Ishkaika,Harmony,Girl
Tavin,Divine,Girl
Yaraika,Light,Girl
Shitaan,Prosperity,Boy
Bhmiali,Hope,Girl
Sudiika,Love,Girl
Deniali,Brilliance,Girl
Bamian,Peace,Boy
Saraya,Peace,Girl
Layaa,Light,Girl
Shataesh,Love,Boy
Prashians,Grace,Boy
Avmaan,Light,Boy
Nadiay,Light,Girl
Damaita,Peace,Girl
Avdiita,Divine,Boy
Aymin,Wisdom,Girl
Kiriika,Energy,Girl
Adipaya,Strength,Boy
Yaria,Love,Boy
Disaika,Wisdom,Girl
Varan,Light,Boy
Suyaav,Love,Girl
Trilaika,Kindness,Girl
Aykaa,Strength,Boy
Ishdiika,Love,Girl
Riviali,Light,Girl
Manan,Wisdom,Girl
Chadiraj,Strength,Boy
Vilaika,Prosperity,Boy
Diviika,Joy,Boy
Anmiraj,Light,Boy
Havaesh,Light,Girl
Adipaita,Brilliance,Boy
Surian,Divine,Boy
Hayaan,Peace,Girl
Bhkaika,Peace,Girl
Pataika,Kindness,Boy
Tanin,Prosperity,Girl
Badiita,Energy,Boy
Ashvaika,Brilliance,Girl
Desaali,Prosperity,Boy
Avkan,Brilliance,Girl
Armian,Energy,Girl
Aaniika,Peace,Boy
